name,url,address,phone,hours,reviews,websites
Auberge Sauvage,https://www.google.com/maps/place/Auberge+Sauvage/data=!4m7!3m6!1s0x480ead75f042ba8b:0x3ac89c108846e066!8m2!3d48.6007568!4d-1.4196565!16s%2Fg%2F11ky5r3cfw!19sChIJi7pC8HWtDkgRZuBGiBCcyDo?authuser=0&hl=de&rclk=1,"3 Pl. Saint-Martin, 50170 Servon, Frankreich",+33 2 33 60 17 92,No Hours,4.7,aubergesauvage.com
Le France,https://www.google.com/maps/place/Le+France/data=!4m7!3m6!1s0x478dee61e2fb0cc3:0x28b7060b3ad3f826!8m2!3d47.059527!4d6.670456!16s%2Fg%2F11cs142dkm!19sChIJwwz74mHujUcRJvjTOgsGtyg?authuser=0&hl=de&rclk=1,"8 Pl. Maxime Cupillard, 25130 Villers-le-Lac, Frankreich",+33 3 81 68 00 06,Geöffnet ⋅ Schließt um 00:00,4.4,hotel-restaurant-lefrance.com
Au top paris,https://www.google.com/maps/place/Au+top+paris/data=!4m7!3m6!1s0x47e66f10c28af1bf:0xd06e3cf186f2c328!8m2!3d48.8601875!4d2.3607163!16s%2Fg%2F11q4vbn0zp!19sChIJv_GKwhBv5kcRKMPyhvE8btA?authuser=0&hl=de&rclk=1,"93 Rue Vieille du Temple, 75003 Paris, Frankreich",No Phone,No Hours,4.3,actedeux.paris
Le Jardin de France,https://www.google.com/maps/place/Le+Jardin+de+France/data=!4m7!3m6!1s0x47971f439cbfe6af:0x2b79bfaf1477d6c5!8m2!3d48.75952!4d8.2397736!16s%2Fg%2F1td2ydvc!19sChIJr-a_nEMfl0cRxdZ3FK-_eSs?authuser=0&hl=de&rclk=1,"Augustapl. 2, 76530 Baden-Baden",No Phone,No Hours,4.5,Speisekarte
L'Arpège,https://www.google.com/maps/place/L%27Arp%C3%A8ge/data=!4m7!3m6!1s0x47e6702a1700ea43:0xee64dc33b34d3fd9!8m2!3d48.8557874!4d2.3170682!16s%2Fm%2F02qsr6m!19sChIJQ-oAFypw5kcR2T9NszPcZO4?authuser=0&hl=de&rclk=1,"84 Rue de Varenne, 75007 Paris, Frankreich",+33 1 47 05 09 06,No Hours,4.5,alain-passard.com
Auberge Saint-Laurent - HOTEL RESTAURANT,https://www.google.com/maps/place/Auberge+Saint-Laurent+-+HOTEL+RESTAURANT/data=!4m10!3m9!1s0x479197dbea1274b1:0xa3d30909931a94bf!5m2!4m1!1i2!8m2!3d47.6540848!4d7.4539155!16s%2Fg%2F1td4ys81!19sChIJsXQS6tuXkUcRv5QakwkJ06M?authuser=0&hl=de&rclk=1,"1 Rue de la Fontaine, 68510 Sierentz, Frankreich",+33 3 89 81 52 81,No Hours,4.7,auberge-saintlaurent.fr
Georges Blanc · Restaurant Gastronomique,https://www.google.com/maps/place/Georges+Blanc+%C2%B7+Restaurant+Gastronomique/data=!4m7!3m6!1s0x47f35d0159fb3843:0xa32bc14a6c7214c4!8m2!3d46.2201053!4d4.9897019!16s%2Fg%2F1tfkq2sk!19sChIJQzj7WQFd80cRxBRybErBK6M?authuser=0&hl=de&rclk=1,"1 Pl. du Marché, 01540 Vonnas, Frankreich",+33 4 74 50 90 90,No Hours,4.5,georgesblanc.com
Septime,https://www.google.com/maps/place/Septime/data=!4m7!3m6!1s0x47e672085202a913:0x3230715dda06499!8m2!3d48.8535723!4d2.3809333!16s%2Fg%2F1v6l6tc7!19sChIJE6kCUghy5kcRmWSg3RUHIwM?authuser=0&hl=de&rclk=1,"80 Rue de Charonne, 75011 Paris, Frankreich",No Phone,No Hours,4.4,septime-charonne.fr
Au Vieux Couvent,https://www.google.com/maps/place/Au+Vieux+Couvent/data=!4m7!3m6!1s0x4791376b96609b8b:0xc12ad571901cceac!8m2!3d48.3171969!4d7.7069484!16s%2Fg%2F1tfv419g!19sChIJi5tglms3kUcRrM4ckHHVKsE?authuser=0&hl=de&rclk=1,"6 Rue des Chanoines, 67860 Rhinau, Frankreich",+33 3 88 74 61 15,No Hours,4.8,auvieuxcouvent.fr
The France - Restaurant,https://www.google.com/maps/place/The+France+-+Restaurant/data=!4m7!3m6!1s0x47ebf395b7f73693:0xdb420d27a1a5b299!8m2!3d48.7268074!4d4.5834531!16s%2Fg%2F1tg4_rq0!19sChIJkzb3t5Xz60cRmbKloScNQts?authuser=0&hl=de&rclk=1,"5 Rue des Sœurs, 51300 Vitry-le-François, Frankreich",+33 3 26 73 21 98,No Hours,4.6,restaurant-the-france.com
Restaurant À l'Échevin,https://www.google.com/maps/place/Restaurant+%C3%80+l%27%C3%89chevin/data=!4m7!3m6!1s0x479165e87e6b4e4f:0x9fd6aea98bd5d6ce!8m2!3d48.0736037!4d7.3568528!16s%2Fg%2F1hm51960s!19sChIJT05rfuhlkUcRztbVi6mu1p8?authuser=0&hl=de&rclk=1,"4 Pl. des 6 Montagnes Noires, 68000 Colmar, Frankreich",+33 3 89 41 60 32,No Hours,4.3,hotel-le-marechal.com
Bistrot Chez France,https://www.google.com/maps/place/Bistrot+Chez+France/data=!4m7!3m6!1s0x47e66fd8fb38d25d:0x88a0a90011e0453c!8m2!3d48.8590532!4d2.307601!16s%2Fg%2F11bccjvzvt!19sChIJXdI4-9hv5kcRPEXgEQCpoIg?authuser=0&hl=de&rclk=1,"9 Rue Amélie, 75007 Paris, Frankreich",+33 1 40 67 96 54,No Hours,4.5,Speisekarte
Fleur de Loire · Spa Hotel & Restaurant,https://www.google.com/maps/place/Fleur+de+Loire+%C2%B7+Spa+Hotel+%26+Restaurant/data=!4m10!3m9!1s0x47e4a9f30e32a693:0x80c92139f598af0f!5m2!4m1!1i2!8m2!3d47.5824835!4d1.3376745!16s%2Fg%2F11r9fjkxwl!19sChIJk6YyDvOp5EcRD6-Y9TkhyYA?authuser=0&hl=de&rclk=1,"26 Quai Villebois Mareuil, 41000 Blois, Frankreich",+33 2 46 68 01 20,No Hours,4.6,fleurdeloire.com
Auberge de l'Ill,https://www.google.com/maps/place/Auberge+de+l%27Ill/data=!4m7!3m6!1s0x479142ea27617ecd:0x85ac041584b63383!8m2!3d48.1843876!4d7.432821!16s%2Fg%2F1td41dwh!19sChIJzX5hJ-pCkUcRgzO2hBUErIU?authuser=0&hl=de&rclk=1,"2 Rue de Collonges au Mont d'Or, 68970 Illhaeusern, Frankreich",+33 3 89 71 89 00,No Hours,4.8,auberge-de-l-ill.com
FrenchyTaste,https://www.google.com/maps/place/FrenchyTaste/data=!4m7!3m6!1s0x47e66dfb967934a3:0xc5b546fa5d13913!8m2!3d48.867685!4d2.355342!16s%2Fg%2F11c6sktvjk!19sChIJozR5lvtt5kcREznRpW9UWww?authuser=0&hl=de&rclk=1,"74 Rue du Vertbois, 75003 Paris, Frankreich",+33 6 80 64 18 84,No Hours,4.9,Tisch reservieren
La Tête de l'Art,https://www.google.com/maps/place/La+T%C3%AAte+de+l%27Art/data=!4m7!3m6!1s0x48055b8cd91c95fd:0x722068d003faa4fc!8m2!3d47.3230851!4d-2.4194736!16s%2Fg%2F1td1csx0!19sChIJ_ZUc2YxbBUgR_KT6A9BoIHI?authuser=0&hl=de&rclk=1,"11 Rue de la porte calon, 44350 Guérande, Frankreich",+33 2 40 88 53 40,No Hours,4.6,Tisch reservieren
Restaurant Gimbelhof,https://www.google.com/maps/place/Restaurant+Gimbelhof/data=!4m7!3m6!1s0x47968b8d6f2a29f3:0x9c79a5233c1e8b9a!8m2!3d49.046642!4d7.7867267!16s%2Fg%2F1tffc3tn!19sChIJ8ykqb42LlkcRmosePCOleZw?authuser=0&hl=de&rclk=1,"67510 Lembach, Frankreich",+33 3 88 94 43 58,No Hours,4.2,gimbelhof.com
Le Pétrocore,https://www.google.com/maps/place/Le+P%C3%A9trocore/data=!4m7!3m6!1s0x47ff71a5b406115f:0xe6a33e779d23c937!8m2!3d45.1851504!4d0.7211081!16s%2Fg%2F11vd3lsnwh!19sChIJXxEGtKVx_0cRN8kjnXc-o-Y?authuser=0&hl=de&rclk=1,"15 Rue Eguillerie, 24000 Périgueux, Frankreich",+33 7 60 25 38 47,No Hours,4.9,restaurant-lepetrocore.fr
Baretto,https://www.google.com/maps/place/Baretto/data=!4m7!3m6!1s0x4781515ce608d3f9:0x738e7363c599925c!8m2!3d45.7084354!4d9.6504048!16s%2Fg%2F1tf9rp74!19sChIJ-dMI5lxRgUcRXJKZxWNzjnM?authuser=0&hl=de&rclk=1,"Via al Castello, 1, 24100 Bergamo BG, Italien",+39 035 253191,Geöffnet ⋅ Schließt um 01:00,4.4,Speisekarte
Piazza Duomo,https://www.google.com/maps/place/Piazza+Duomo/data=!4m7!3m6!1s0x12d2b35d2e860f4b:0xafa26d7929f2cc5f!8m2!3d44.7006136!4d8.0357954!16s%2Fg%2F1v9nk68z!19sChIJSw-GLl2z0hIRX8zyKXltoq8?authuser=0&hl=de&rclk=1,"Piazza Risorgimento, 4, 12051 Alba CN, Italien",+39 0173 366167,No Hours,4.5,piazzaduomoalba.it
Aroma,https://www.google.com/maps/place/Aroma/data=!4m10!3m9!1s0x132f61b905e51cfd:0x846abc88a96f50d7!5m2!4m1!1i2!8m2!3d41.8901781!4d12.4955196!16s%2Fg%2F1hm5zxcg1!19sChIJ_RzlBblhLxMR11BvqYi8aoQ?authuser=0&hl=de&rclk=1,"Via Labicana, 125, 00184 Roma RM, Italien",+39 06 9761 5109,No Hours,4.1,aromarestaurant.it
Italy Food Ristorante,https://www.google.com/maps/place/Italy+Food+Ristorante/data=!4m7!3m6!1s0x1325f3ba853457cb:0x8c017dbb6a236dfb!8m2!3d41.7729792!4d12.3785039!16s%2Fg%2F11cj9nvrkx!19sChIJy1c0hbrzJRMR-20jart9AYw?authuser=0&hl=de&rclk=1,"Piazza Giovanni Omiccioli, 20, 00125 Roma RM, Italien",+39 366 105 9792,No Hours,4.8,No website
Osteria Francescana,https://www.google.com/maps/place/Osteria+Francescana/data=!4m7!3m6!1s0x477fef12d42cf17f:0x19607398f8f8e95d!8m2!3d44.6448264!4d10.9215729!16s%2Fm%2F05zrj5x!19sChIJf_Es1BLvf0cRXen4-JhzYBk?authuser=0&hl=de&rclk=1,"Via Stella, 22, 41121 Modena MO, Italien",+39 059 223912,No Hours,4.5,osteriafrancescana.it
Moma,https://www.google.com/maps/place/Moma/data=!4m7!3m6!1s0x132f61a993843f09:0xec6fca4852825ce7!8m2!3d41.9056467!4d12.4908059!16s%2Fg%2F1tgmmn18!19sChIJCT-Ek6lhLxMR51yCUkjKb-w?authuser=0&hl=de&rclk=1,"Via di S. Basilio, 42, 00187 Roma RM, Italien",+39 06 4201 1798,No Hours,4.5,Speisekarte
Casa Perbellini,https://www.google.com/maps/place/Casa+Perbellini/data=!4m7!3m6!1s0x477f5f57fb34cbbb:0x755be9cd4b9a19f8!8m2!3d45.4426738!4d10.9961133!16s%2Fg%2F11b6xgmnlv!19sChIJu8s0-1dff0cR-BmaS83pW3U?authuser=0&hl=de&rclk=1,"Vicolo Corticella S. Marco, 3, 37121 Verona VR, Italien",+39 045 878 0860,No Hours,4.8,casaperbellini.com
Uliassi,https://www.google.com/maps/place/Uliassi/data=!4m7!3m6!1s0x132d739dfcbc1d71:0x88124d00bcf7f393!8m2!3d43.7194631!4d13.2208132!16s%2Fg%2F1vpghzts!19sChIJcR28_J1zLRMRk_P3vABNEog?authuser=0&hl=de&rclk=1,"Banchina di Levante, 6, 60019 Senigallia AN, Italien",+39 071 65463,No Hours,4.8,Tisch reservieren
Trattoria dal Biassanot,https://www.google.com/maps/place/Trattoria+dal+Biassanot/data=!4m7!3m6!1s0x477fd4bd624fa307:0xd357484580eec2cc!8m2!3d44.4985465!4d11.345168!16s%2Fg%2F1vysvctj!19sChIJB6NPYr3Uf0cRzMLugEVIV9M?authuser=0&hl=de&rclk=1,"Via Piella, 16, 40126 Bologna BO, Italien",+39 051 230644,No Hours,4.4,Tisch reservieren
Italy Restaurant Milano,https://www.google.com/maps/place/Italy+Restaurant+Milano/data=!4m7!3m6!1s0x4786c6ad178c7939:0xf7f89a8a46498d7f!8m2!3d45.4661701!4d9.1858569!16s%2Fg%2F11c1qn3k2t!19sChIJOXmMF63GhkcRf41JRoqa-Pc?authuser=0&hl=de&rclk=1,"Via S. Prospero, 4, 20121 Milano MI, Italien",+39 02 3672 8447,No Hours,3.9,Als Inhaber eintragen
Antica Trattoria del Risorgimento,https://www.google.com/maps/place/Antica+Trattoria+del+Risorgimento/data=!4m7!3m6!1s0x47842327ccf40bd5:0xdafd2d6a126f138c!8m2!3d45.9815!4d9.2071!16s%2Fg%2F1tj4fxtl!19sChIJ1Qv0zCcjhEcRjBNvEmot_do?authuser=0&hl=de&rclk=1,"di Mezzegra, Via Sant'Abbondio, 8, 22016 Azzano CO, Italien",+39 0344 41789,No Hours,4.7,facebook.com
Amerigo,https://www.google.com/maps/place/Amerigo/data=!4m10!3m9!1s0x132acc0025881f1d:0x27a9af548af93bc5!5m2!4m1!1i2!8m2!3d44.3903251!4d11.0739748!16s%2Fg%2F1tfdvsrs!19sChIJHR-IJQDMKhMRxTv5ilSvqSc?authuser=0&hl=de&rclk=1,"Via Guglielmo Marconi, 14/16, 40053 Savigno BO, Italien",+39 051 670 8326,No Hours,4.7,Speisekarte
Antica Osteria Cera,https://www.google.com/maps/place/Antica+Osteria+Cera/data=!4m7!3m6!1s0x477eb8748050c16f:0x214baa6b4adb6a31!8m2!3d45.3879394!4d12.1302862!16s%2Fg%2F1thvx399!19sChIJb8FQgHS4fkcRMWrbSmuqSyE?authuser=0&hl=de&rclk=1,"Via Marghera, 24, 30010 Lughetto VE, Italien",+39 041 518 5009,No Hours,4.8,Tisch reservieren
Osteria Candalla,https://www.google.com/maps/place/Osteria+Candalla/data=!4m7!3m6!1s0x12d575bc4d95d85b:0xb430fe4d69f2b876!8m2!3d43.9560928!4d10.3233346!16s%2Fg%2F1wb31mxr!19sChIJW9iVTbx11RIRdrjyaU3-MLQ?authuser=0&hl=de&rclk=1,"Via di Candalla, 264, 55041 Camaiore LU, Italien",+39 0584 984381,No Hours,4.5,osteriacandalla.it
Little Italy,https://www.google.com/maps/place/Little+Italy/data=!4m7!3m6!1s0x4799db53b8b849d1:0xe7f49f20a579caed!8m2!3d48.7635505!4d9.1734992!16s%2Fg%2F11cktgtvhf!19sChIJ0Um4uFPbmUcR7cp5pSCf9Oc?authuser=0&hl=de&rclk=1,"Liststraße 30, 70180 Stuttgart",No Phone,No Hours,4.7,little-italy-stuttgart.de
Le Calandrе,https://www.google.com/maps/place/Le+Calandr%D0%B5/data=!4m7!3m6!1s0x477ed9a24cbd0147:0xb936c0ff1d7d21a8!8m2!3d45.4217428!4d11.8096337!16s%2Fm%2F02qsmpj!19sChIJRwG9TKLZfkcRqCF9Hf_ANrk?authuser=0&hl=de&rclk=1,"Via Liguria, 1, 35030 Rubano PD, Italien",+39 049 630303,No Hours,4.7,Tisch reservieren
Restaurant Italy,https://www.google.com/maps/place/Restaurant+Italy/data=!4m7!3m6!1s0x479e75b7d078c31f:0xc9f8cc00684e5d95!8m2!3d48.1656633!4d11.5865775!16s%2Fg%2F1tdvywx0!19sChIJH8N40Ld1nkcRlV1OaADM-Mk?authuser=0&hl=de&rclk=1,"Leopoldstraße 108, 80802 München",No Phone,No Hours,4.3,Tisch reservieren
Villa Crespi,https://www.google.com/maps/place/Villa+Crespi/data=!4m10!3m9!1s0x47860cee2a38b009:0x2268b08b418f860d!5m2!4m1!1i2!8m2!3d45.7964103!4d8.4160537!16s%2Fg%2F122gwfcl!19sChIJCbA4Ku4MhkcRDYaPQYuwaCI?authuser=0&hl=de&rclk=1,"Via Giuseppe Fava, 18, 28016 Orta San Giulio NO, Italien",+39 0322 911902,No Hours,4.8,villacrespi.it
Lido 84,https://www.google.com/maps/place/Lido+84/data=!4m7!3m6!1s0x47818c221c49b0c7:0xb41eed0caeaeb603!8m2!3d45.6251592!4d10.5755666!16s%2Fg%2F1tlgwtlg!19sChIJx7BJHCKMgUcRA7aurgztHrQ?authuser=0&hl=de&rclk=1,"Corso Giuseppe Zanardelli, 196, 25083 Gardone Riviera BS, Italien",+39 0365 20019,No Hours,4.8,Tisch reservieren
Ristorante Risotto,https://www.google.com/maps/place/Ristorante+Risotto/data=!4m7!3m6!1s0x479e76324c743a71:0x6fe3c001cdeecb63!8m2!3d48.1540166!4d11.5071313!16s%2Fg%2F11c0xxk1zq!19sChIJcTp0TDJ2nkcRY8vuzQHA428?authuser=0&hl=de&rclk=1,"Hirschgartenallee 38, 80639 München",No Phone,No Hours,4.6,ristorante-risotto.de
